line_id,month,speed_kmh,samples,query_time_ms
131,5,0.0,0,120
140,5,0.0,0,32
142,5,0.0,0,29
150,5,0.0,0,30
271,5,0.0,0,33
272,5,0.0,0,31
282,5,0.0,0,140
302,5,0.0,0,54
304,5,0.0,0,29
311,5,0.0,0,30
318,5,0.0,0,28
332,5,0.0,0,33
336,5,0.0,0,35
347,5,0.0,0,43
352,5,0.0,0,34
373,5,0.0,0,58
375,5,0.0,0,28
385,5,0.0,0,28
421,5,0.0,0,27
427,5,0.0,0,28
437,5,0.0,0,28
441,5,0.0,0,30
999,5,0.0,0,27
1472,5,0.0,0,61
1571,5,0.0,0,28
2101,5,0.0,0,34
2121,5,0.0,0,30
2211,5,0.0,0,144
2212,5,0.0,0,53
2241,5,0.0,0,29
2242,5,0.0,0,29
2243,5,0.0,0,30
2273,5,0.0,0,27
2274,5,40.85558785334401,2970,103
2301,5,0.0,0,60
2401,5,0.0,0,30
2402,5,0.0,0,29
2471,5,0.0,0,138
2472,5,0.0,0,60
2473,5,0.0,0,29
2524,5,0.0,0,33
2841,5,0.0,0,30
2842,5,0.0,0,29
3122,5,0.0,0,27
3123,5,0.0,0,29
3171,5,0.0,0,143
3172,5,0.0,0,54
3192,5,0.0,0,130
3371,5,0.0,0,28
3411,5,0.0,0,30
3422,5,0.0,0,28
3442,5,0.0,0,48
